Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1724368067.5872772,0,1724368067,587102361,world,0.15997982025146484,0.8619664907455444,0.004797221161425114,-0.02391788177192211,0.001266729086637497,0.01356506533920765,0.9996211528778076
1724368067.5973082,1,1724368067,597158410,world,0.15994469821453094,0.8620291352272034,0.004689299501478672,-0.021797465160489082,0.0013361460296437144,0.013000182807445526,0.9996770024299622
1724368067.5973148,2,1724368067,597168624,world,0.15998421609401703,0.8619643449783325,0.004792516119778156,-0.02401881106197834,0.0013008309761062264,0.013559017330408096,0.9996187090873718
1724368067.6073,3,1724368067,607153547,world,0.15996791422367096,0.8619600534439087,0.004781914409250021,-0.024259423837065697,0.0012910990044474602,0.01372008491307497,0.9996107816696167
1724368067.6173747,4,1724368067,617236997,world,0.15998196601867676,0.8619647026062012,0.004797979723662138,-0.023971550166606903,0.0012642558431252837,0.013546762987971306,0.9996200799942017
1724368067.6273026,5,1724368067,627156952,world,0.15997923910617828,0.8619635701179504,0.004795674234628677,-0.024005640298128128,0.001294740941375494,0.013600142672657967,0.9996185302734375
1724368067.6372724,6,1724368067,637150334,world,0.1599707454442978,0.8619620203971863,0.004777221009135246,-0.024314414709806442,0.0013105828547850251,0.013740230351686478,0.9996090531349182
1724368067.6473145,7,1724368067,647149788,world,0.1599755585193634,0.8619662523269653,0.0047974050976336,-0.023991089314222336,0.0012033816892653704,0.01357839535921812,0.9996193051338196
1724368067.6573212,8,1724368067,657158820,world,0.15998315811157227,0.8619626760482788,0.0048028863966465,-0.0239703431725502,0.0012623973889276385,0.013545656576752663,0.9996201395988464
1724368067.6573339,9,1724368067,657171501,world,0.1599845141172409,0.8619649410247803,0.004798567853868008,-0.02394253760576248,0.001186333131045103,0.013579776510596275,0.9996204972267151
1724368067.6672912,10,1724368067,667146763,world,0.1599748134613037,0.8619602918624878,0.004783864598721266,-0.02424648404121399,0.0012610956327989697,0.01367432065308094,0.9996116757392883
1724368067.6772878,11,1724368067,677121642,world,0.15993598103523254,0.8620262145996094,0.004698020871728659,-0.0217838604003191,0.0013589203590527177,0.013031002134084702,0.9996769428253174
1724368067.6872756,12,1724368067,687116500,world,0.15997259318828583,0.8619617819786072,0.004785331431776285,-0.024307014420628548,0.0013441877672448754,0.013695397414267063,0.9996098279953003
1724368067.6972854,13,1724368067,697155990,world,0.15998557209968567,0.8619670271873474,0.004794892389327288,-0.02396417036652565,0.0013605672866106033,0.013579320162534714,0.999619722366333
1724368067.6972947,14,1724368067,697168758,world,0.1599850058555603,0.8619626760482788,0.004803834483027458,-0.024012897163629532,0.0013479149201884866,0.013571434654295444,0.999618649482727
1724368067.7072527,15,1724368067,707120168,world,0.15998013317584991,0.8619627952575684,0.004796320106834173,-0.02381129562854767,0.0012905512703582644,0.01351564284414053,0.9996243715286255
1724368067.7173762,16,1724368067,717220514,world,0.15994781255722046,0.8620315194129944,0.004694413859397173,-0.021680166944861412,0.0013276226818561554,0.013073451817035675,0.9996786117553711
1724368067.7272675,17,1724368067,727095401,world,0.15994757413864136,0.8620262145996094,0.004697271157056093,-0.021675508469343185,0.0014245162019506097,0.01306629553437233,0.9996787309646606
1724368067.7372458,18,1724368067,737093968,world,0.15996766090393066,0.8619608879089355,0.0047821844927966595,-0.02438507042825222,0.0012732745381072164,0.013709702529013157,0.9996078610420227
1724368067.7473187,19,1724368067,747145115,world,0.15999555587768555,0.861961841583252,0.0047883703373372555,-0.023788122460246086,0.0011896383948624134,0.013594002462923527,0.9996239542961121
1724368067.7473416,20,1724368067,747153903,world,0.15998515486717224,0.8619597554206848,0.004792974796146154,-0.023945825174450874,0.0012700626393780112,0.013576062396168709,0.9996203184127808
1724368067.7572982,21,1724368067,757152371,world,0.15994063019752502,0.8620287775993347,0.004701192490756512,-0.021804237738251686,0.0013333314564079046,0.01299377717077732,0.9996770024299622
1724368067.767289,22,1724368067,767145490,world,0.15998154878616333,0.8619611263275146,0.00479121832177043,-0.024055086076259613,0.0011624401668086648,0.013566088862717152,0.9996179938316345
1724368067.7772698,23,1724368067,777146362,world,0.15998278558254242,0.8619620203971863,0.004792627412825823,-0.024005161598324776,0.0012756272917613387,0.013550708070397377,0.99961918592453
1724368067.7873108,24,1724368067,787149639,world,0.15993890166282654,0.8620292544364929,0.004692469257861376,-0.021755198016762733,0.001480482635088265,0.013051828369498253,0.9996770620346069
1724368067.7972977,25,1724368067,797144658,world,0.15998101234436035,0.8619608879089355,0.00479171285405755,-0.02406647987663746,0.0013293775264173746,0.01355576328933239,0.9996175765991211
1724368067.7973075,26,1724368067,797154092,world,0.1599806249141693,0.8619621992111206,0.00479213846847415,-0.023899085819721222,0.0012790660839527845,0.013546173460781574,0.9996218085289001
1724368067.8073013,27,1724368067,807148395,world,0.1599847674369812,0.8619540333747864,0.004768922459334135,-0.024103935807943344,0.0012889092322438955,0.01377376914024353,0.9996137619018555
1724368067.8173637,28,1724368067,817218224,world,0.15994538366794586,0.8620253801345825,0.004696682095527649,-0.021679073572158813,0.0013412073021754622,0.013005341403186321,0.9996795058250427
1724368067.8273103,29,1724368067,827157946,world,0.1600177139043808,0.8619551658630371,0.004670008551329374,-0.021692967042326927,0.0023236656561493874,0.012291306629776955,0.9996864795684814
1724368067.8372636,30,1724368067,837142172,world,0.15998119115829468,0.8619638085365295,0.004788937047123909,-0.024095382541418076,0.0013580326922237873,0.013582233339548111,0.9996165633201599
